molecule_chembl_id,canonical_smiles,standard_value,standard_units,MOLECULAR WEIGHT,PSA,logP,HBA,HBD
CHEMBL187579,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21,7200.0,nM,281.271,87.2,1.89262,5.0,0.0
CHEMBL188487,O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,9400.0,nM,415.589,37.38,3.813200000000002,2.0,0.0
CHEMBL185698,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,13500.0,nM,421.19000000000005,55.84,2.6605000000000008,4.0,0.0
CHEMBL426082,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,13110.0,nM,293.34700000000004,37.38,3.6308000000000016,3.0,0.0
CHEMBL187717,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-],2000.0,nM,338.3440000000001,80.52,3.5390000000000024,5.0,0.0
CHEMBL365134,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,980.0,nM,372.24300000000005,37.38,4.393300000000003,3.0,0.0
CHEMBL187598,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21,4820.0,nM,311.33700000000005,37.38,3.7699000000000016,3.0,0.0
CHEMBL190743,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,950.0,nM,419.24300000000005,37.38,4.235400000000002,3.0,0.0
CHEMBL365469,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,11200.0,nM,327.7920000000001,37.38,4.284200000000002,3.0,0.0
CHEMBL188983,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,23500.0,nM,445.28100000000006,37.38,4.748600000000002,3.0,0.0
CHEMBL370923,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,17500.0,nM,480.327,57.690000000000005,3.708300000000003,4.0,0.0
